paciente,resposta,nota1,nota2,nota3,nota4,nota5,nota6,nota7,nota8,nota9,nota10,nota11,nota_total
0,a,4,5,4,4,5,5,1,1,1,5,4,39
0,b,2,5,4,5,4,5,1,0,1,5,5,37
0,c,4,5,4,4,4,5,1,1,1,5,4,38
1,a,4,5,4,4,4,5,1,1,1,5,4,38
2,a,4,5,4,4,5,5,1,1,1,5,4,39
2,b,4,5,4,4,5,5,1,0,1,5,4,38
2,c,4,5,4,4,5,5,1,1,1,5,4,39
3,a,4,5,4,4,5,5,1,0,1,5,4,38
3,b,4,5,4,4,5,5,1,0,1,5,4,38
3,c,4,5,4,4,4,5,1,0,1,5,4,37
4,a,5,5,4,4,5,5,1,1,1,5,4,40
4,c,4,5,4,4,4,5,1,1,1,5,4,38
5,a,4,5,4,4,4,5,1,1,1,5,4,38
5,b,4,5,4,4,4,5,1,0,1,5,4,37
6,a,4,5,4,4,5,5,1,1,1,5,4,39
6,b,4,5,4,4,4,4,1,1,1,5,4,37
6,c,4,4,4,4,4,5,1,1,1,5,4,37
7,a,4,5,4,4,5,5,1,1,1,5,4,39
7,b,5,5,4,4,4,4,1,0,1,5,4,37
7,c,4,5,4,4,4,5,1,1,1,5,4,38
8,a,4,5,4,4,5,5,1,1,1,5,4,39
8,b,3,5,4,4,4,5,1,1,1,5,4,37
8,c,4,5,4,4,5,5,1,1,1,5,4,39
9,a,5,5,4,4,5,5,1,0,1,5,5,40
9,b,4,5,4,4,5,5,1,0,1,5,4,38
10,a,4,5,4,4,5,5,1,0,1,5,4,38
10,b,4,5,4,4,5,5,1,1,1,5,4,39
10,c,4,5,4,5,5,5,1,0,1,5,4,39
11,a,4,5,4,4,5,5,1,0,1,5,5,39
11,b,5,5,4,4,5,5,1,0,1,5,5,40
12,a,4,5,4,4,5,5,1,0,1,5,4,38
12,c,4,5,4,4,4,5,1,1,1,5,4,38
13,a,4,5,4,5,5,5,1,0,1,5,5,40
13,c,4,5,4,4,4,5,1,1,1,5,4,38
14,a,4,5,4,4,5,5,1,1,1,5,4,39
14,b,4,5,4,4,4,5,1,0,1,5,4,37
14,c,4,5,4,5,5,5,1,1,1,5,4,40
15,a,4,5,4,5,5,5,1,0,1,5,5,40
15,b,4,5,4,4,4,4,1,1,1,5,4,37
15,c,4,5,4,4,5,5,1,1,1,5,4,39
16,a,4,5,4,4,5,5,1,1,1,5,4,39
16,b,4,5,4,4,5,5,1,0,1,5,4,38
16,c,4,5,4,4,4,5,1,1,1,5,4,38
17,a,4,5,4,4,5,5,1,0,1,5,5,39
17,b,5,5,4,4,4,4,1,0,1,5,4,37
17,c,4,5,4,4,5,5,1,0,1,5,4,38
18,a,4,5,4,4,5,5,1,1,1,5,4,39
18,b,4,5,4,4,4,5,1,0,1,5,5,38
18,c,4,5,4,4,5,5,1,1,1,5,4,39
19,a,4,5,4,5,5,5,1,0,1,5,5,40
20,a,4,5,4,5,5,5,1,0,1,5,4,39
20,b,4,4,4,4,4,5,1,0,1,5,4,36
21,a,4,5,4,5,5,5,1,1,1,5,5,41
21,b,4,5,4,4,4,5,1,1,1,5,4,38
22,a,4,5,4,4,5,5,1,1,1,5,4,39
22,c,4,5,4,4,4,5,1,1,1,5,4,38
23,a,4,5,4,4,5,5,1,0,1,5,5,39
23,b,4,5,4,4,4,4,1,0,1,5,4,36
23,c,4,5,4,4,4,5,1,1,1,5,4,38
24,a,4,5,4,4,5,5,1,0,1,5,4,38
24,b,5,5,4,4,4,5,1,0,1,5,4,38
24,c,4,5,4,4,4,4,1,0,1,5,4,36
25,a,4,5,4,4,5,5,1,0,1,5,4,38
25,b,4,5,4,4,4,5,1,0,1,5,4,37
26,a,4,5,4,5,5,5,1,0,1,5,4,39
26,b,4,5,4,4,5,5,1,0,1,5,4,38
27,a,4,5,4,4,5,5,1,1,1,5,4,39
27,b,5,5,4,4,4,4,1,0,1,5,4,37
27,c,4,5,4,4,5,5,1,0,1,5,5,39
28,a,4,5,4,4,5,5,1,1,1,5,4,39
28,b,4,5,4,4,5,5,1,1,1,5,4,39
28,c,4,5,4,4,5,5,1,1,1,5,4,39
29,a,5,5,4,4,5,5,1,0,1,5,5,40
29,b,4,5,4,4,5,5,1,0,1,5,4,38
30,a,4,5,4,4,4,5,1,1,1,5,4,38
30,b,5,5,4,4,5,5,1,0,1,5,4,39
31,a,4,5,4,4,5,5,1,0,1,5,4,38
31,b,5,5,4,4,4,5,1,0,1,5,4,38
31,c,4,5,4,4,4,5,1,1,1,5,4,38
32,a,4,5,4,5,5,5,1,0,1,5,4,39
32,b,4,5,4,4,4,5,1,0,1,5,4,37
32,c,4,5,4,4,4,5,1,1,1,5,4,38
33,a,4,5,4,4,5,5,1,0,1,5,4,38
33,b,5,5,4,4,5,5,1,1,1,5,4,40
33,c,4,5,4,4,4,5,1,1,1,5,4,38
34,a,4,5,4,4,5,5,1,0,1,5,4,38
34,b,4,5,4,4,5,5,1,0,1,5,4,38
34,c,4,5,4,4,5,5,1,1,1,5,4,39
35,a,4,5,4,4,5,5,1,0,1,5,4,38
35,b,4,4,4,4,4,4,1,1,1,4,4,35
35,c,4,5,4,4,4,5,1,1,1,5,4,38
36,a,4,5,4,4,5,4,1,1,1,5,4,38
36,b,4,5,4,4,5,5,1,1,1,5,4,39
36,c,4,5,4,4,4,5,1,1,1,5,4,38
37,a,4,5,4,4,5,5,1,0,1,5,4,38
37,b,4,5,4,4,4,5,1,1,1,5,4,38
37,c,4,5,4,4,4,5,1,1,1,5,4,38
38,a,4,5,4,4,5,5,1,1,1,5,4,39
38,b,3,5,4,4,3,5,1,1,1,5,4,36
38,c,4,5,4,4,4,5,1,1,1,5,4,38
39,a,4,5,4,4,5,5,1,1,1,5,4,39
39,b,2,5,4,4,4,5,1,1,1,5,4,36
